Effective Sea-Level Angular Momentum Functions (SLAM)

File name                    : ESMGFZ_SLAM_v1.2_24h_2008.asc
File contents                : effective angular momentum functions from global sea-level mass balance
File units                   : dimensionless earth rotation excitation functions
Issue date                   : 2019-05-14
Version number               : v1.2
 
References                   : Dobslaw, H., R. Dill, A. Groetzsch, A. Brzezinski, and M. Thomas (2010), 
                               Seasonal polar motion excitation from numerical models of atmosphere, ocean, 
                               and continental hydrosphere, J. Geophys. Res., doi:10.1029/2009JB007127
 
Contact                      : Henryk Dobslaw, dobslaw@gfz-potsdam.de
Affiliation                  : Deutsches GeoForschungsZentrum GFZ
                               Dep. 1: Geodesy and Remote Sensing
                               Sec. 1.3: Earth System Modelling
                               Telegrafenberg
                               14473 Potsdam, Germany
 
Temporal domain              : 01.01.2008 through 31.12.2008 (12:00 UTC)
Temporal resolution          : 24h 
Number of data records       : 366
Subtracted mean value        : mean from 2003-01-01 to 2014-12-31
                               2.069815068012571e-13   3.295849259181661e-13   2.508252140298746e-14
 
Sea-level                    : Global mass balance according to ECMWF op. surface pressure and
                               continental hydrology from Land Surface Discharge Model (LSDM)

Notes : These SLAMs are part of a set of consistently processed Earth rotation excitation 
        function (AAM, OAM, HAM, SLAM). The ocean model MPIOM and the hydrological model LSDM were
        forced consistently with operational forecast data from the ECMWF.
 
Further references to be mentioned, when LSDM data are used:
         Dill, R., Hydrological model LSDM for operational Earth rotation and gravity field variations.
                   GFZ Scientific Technical Report STR08/09, 2008

------------------------------------------------------------------------------------------------------
YYYY MM DD HH   MJD           SLAM mass term
                              x-component             y-component             z-component 

2008 01 01 12 54466.500	 -6.773233507914921e-09	 -5.885583843470958e-09	  1.996456838814156e-10
2008 01 02 12 54467.500	 -2.143813755695468e-08	 -6.003738028152667e-09	  1.708292111554625e-10
2008 01 03 12 54468.500	 -2.441228452080882e-08	 -1.776242401005776e-08	  1.108985182286426e-10
2008 01 04 12 54469.500	 -2.481735147003816e-08	 -2.992112832298084e-08	  8.505995139586786e-11
2008 01 05 12 54470.500	 -3.076688715307070e-08	 -3.328834148551782e-08	  4.569599288758283e-11
2008 01 06 12 54471.500	 -2.852711878398377e-08	 -2.954206971126485e-08	  2.246488278646241e-12
2008 01 07 12 54472.500	 -2.304600672820566e-08	 -2.145508077693361e-08	 -3.667879244087350e-11
2008 01 08 12 54473.500	 -1.795002659189882e-08	 -1.420520663422756e-08	 -2.955544311110248e-11
2008 01 09 12 54474.500	 -1.404477947744438e-08	 -1.484732113425818e-08	 -7.244347930656660e-11
2008 01 10 12 54475.500	 -1.007983229014205e-08	 -1.914222687606044e-08	 -7.221634544609733e-11
2008 01 11 12 54476.500	 -9.831827011962013e-10	 -3.065253423229086e-08	 -1.423135270984984e-10
2008 01 12 12 54477.500	  4.935881203933517e-09	 -2.989314310705967e-08	 -1.646051207156522e-10
2008 01 13 12 54478.500	  2.633532201501744e-09	 -2.400050367439427e-08	 -1.952736325207369e-10
2008 01 14 12 54479.500	  4.699798138769739e-09	 -2.405025693800840e-08	 -1.937148403286488e-10
2008 01 15 12 54480.500	  7.349239208157698e-09	 -3.303803870703725e-08	 -2.490051339275991e-10
2008 01 16 12 54481.500	  5.655672594561906e-09	 -3.171290832199965e-08	 -2.877604686945276e-10
2008 01 17 12 54482.500	  2.087761224440685e-09	 -3.210027499496219e-08	 -3.197358113481349e-10
2008 01 18 12 54483.500	  1.986891281926477e-09	 -3.336118464196168e-08	 -3.989499701178184e-10
2008 01 19 12 54484.500	  1.885228068395444e-09	 -2.669758108723133e-08	 -4.373301458750224e-10
2008 01 20 12 54485.500	 -4.490338273922297e-09	 -1.642039735549861e-08	 -4.451792766804536e-10
2008 01 21 12 54486.500	 -5.537856565163200e-09	 -1.026142130801954e-08	 -4.886510982695299e-10
2008 01 22 12 54487.500	 -1.984398098915516e-09	 -1.549852766003762e-08	 -4.911491891416419e-10
2008 01 23 12 54488.500	 -1.191578886290493e-09	 -2.920224255397046e-08	 -5.214945596441160e-10
2008 01 24 12 54489.500	 -9.043656883200977e-10	 -3.315838459615387e-08	 -5.463754866343734e-10
2008 01 25 12 54490.500	 -6.252371279238718e-09	 -2.710163600753230e-08	 -5.896930810705686e-10
2008 01 26 12 54491.500	 -3.436327568001985e-09	 -2.578975331432634e-08	 -6.091332450585349e-10
2008 01 27 12 54492.500	 -5.793521658172728e-09	 -2.009734260110739e-08	 -6.259504048753706e-10
2008 01 28 12 54493.500	 -1.659970299249391e-08	 -2.663919035496675e-08	 -6.298378349194352e-10
2008 01 29 12 54494.500	 -1.336310059036286e-08	 -3.251043528756807e-08	 -6.834671435940242e-10
2008 01 30 12 54495.500	 -9.108420509859834e-09	 -2.866328665406377e-08	 -6.792270495069474e-10
2008 01 31 12 54496.500	 -6.948263020492658e-09	 -1.892932443463926e-08	 -7.233300789339045e-10
2008 02 01 12 54497.500	 -4.173020523344037e-09	 -1.895330556954426e-08	 -7.150690779054773e-10
2008 02 02 12 54498.500	 -2.280905544733955e-09	 -2.405097721100807e-08	 -7.284171592039802e-10
2008 02 03 12 54499.500	 -4.407690413299002e-09	 -3.118338575662583e-08	 -7.580878636361784e-10
2008 02 04 12 54500.500	 -4.864928755691789e-09	 -3.202151638988804e-08	 -7.894200130519276e-10
2008 02 05 12 54501.500	 -8.881872128209251e-09	 -3.216567685271516e-08	 -8.075577462162160e-10
2008 02 06 12 54502.500	 -1.130530596173307e-08	 -3.765725558622478e-08	 -8.374419674983737e-10
2008 02 07 12 54503.500	 -1.468635948479990e-08	 -4.458546369376085e-08	 -8.903059414790348e-10
2008 02 08 12 54504.500	 -1.452835368017808e-08	 -4.522974454548455e-08	 -9.423058477432459e-10
2008 02 09 12 54505.500	 -1.225616030732869e-08	 -3.732980850100619e-08	 -9.398679790776277e-10
2008 02 10 12 54506.500	 -1.300719486623395e-08	 -3.332804677857466e-08	 -9.748180096766088e-10
2008 02 11 12 54507.500	 -1.352986302412331e-08	 -3.201207031958237e-08	 -1.006762027230253e-09
2008 02 12 12 54508.500	 -1.693719308966812e-08	 -2.601795838755007e-08	 -1.031470769780242e-09
2008 02 13 12 54509.500	 -1.691117602134473e-08	 -2.137443671043459e-08	 -1.026840766436608e-09
2008 02 14 12 54510.500	 -1.568073544937792e-08	 -1.864324435001057e-08	 -1.019671027278775e-09
2008 02 15 12 54511.500	 -1.396159643763295e-08	 -2.262425974263092e-08	 -1.028763573242290e-09
2008 02 16 12 54512.500	 -1.548100563753860e-08	 -2.877500538132397e-08	 -1.082703575553704e-09
2008 02 17 12 54513.500	 -1.367917232515768e-08	 -3.473664485110632e-08	 -1.122040611619672e-09
2008 02 18 12 54514.500	 -7.665435948815675e-09	 -3.766778357103491e-08	 -1.151592314208615e-09
2008 02 19 12 54515.500	 -2.925089273435586e-09	 -3.104881787661481e-08	 -1.182694467573573e-09
2008 02 20 12 54516.500	 -5.279565419333606e-09	 -2.412693757335807e-08	 -1.173439128695932e-09
2008 02 21 12 54517.500	 -9.343320849196530e-09	 -2.607468230833006e-08	 -1.226100152943015e-09
2008 02 22 12 54518.500	 -6.198533200800137e-09	 -3.082881043930204e-08	 -1.238126990585756e-09
2008 02 23 12 54519.500	  4.608694184840641e-09	 -3.009044813278037e-08	 -1.243745837750599e-09
2008 02 24 12 54520.500	  6.740201795151794e-09	 -2.396217767983548e-08	 -1.251938771044469e-09
